station,pollutant,latitude,longitude,train_hours,train_observed,train_coverage,validation_hours,validation_observed,validation_coverage
49-035-2005,PM2.5,40.59805679321289,-111.8941650390625,26280,26096,0.9929984779299847,8616,8539,0.9910631383472609
49-035-2005,NO2,40.59805679321289,-111.8941650390625,26280,25657,0.9762937595129376,8616,8465,0.9824744661095636
49-035-2005,O3,40.59805679321289,-111.8941650390625,26280,25827,0.9827625570776256,8616,8519,0.9887418755803157
49-035-2005,CO,40.59805679321289,-111.8941650390625,26280,25798,0.9816590563165906,8616,8488,0.9851439182915506
49-035-2005,SO2,40.59805679321289,-111.8941650390625,26280,25711,0.9783485540334855,8616,8422,0.9774837511606314
49-035-3006,PM2.5,40.73638916015625,-111.87222290039062,26280,26260,0.9992389649923896,8616,8607,0.9989554317548747
49-035-3006,NO2,40.73638916015625,-111.87222290039062,26280,25585,0.9735540334855404,8616,8557,0.9931522748375116
49-035-3006,O3,40.73638916015625,-111.87222290039062,26280,25295,0.9625190258751902,8616,8497,0.9861884865366759
49-035-3006,CO,40.73638916015625,-111.87222290039062,26280,24999,0.9512557077625571,8616,8497,0.9861884865366759
49-035-3006,SO2,40.73638916015625,-111.87222290039062,26280,25342,0.9643074581430746,8616,8489,0.9852599814298979
49-035-3010,PM2.5,40.78422164916992,-111.93099975585938,26280,26110,0.993531202435312,8616,8527,0.9896703806870938
49-035-3010,NO2,40.78422164916992,-111.93099975585938,26280,25779,0.9809360730593607,8616,8400,0.9749303621169917
49-035-3010,O3,40.78422164916992,-111.93099975585938,26280,25998,0.9892694063926941,8616,8477,0.9838672237697307
49-035-3010,CO,40.78422164916992,-111.93099975585938,26280,25967,0.988089802130898,8616,8434,0.9788765088207985
49-035-3010,SO2,40.78422164916992,-111.93099975585938,26280,25993,0.9890791476407915,8616,8458,0.9816620241411328
49-035-3013,PM2.5,40.49639129638672,-112.03630065917969,26280,26161,0.9954718417047184,8616,8584,0.9962859795728877
49-035-3013,NO2,40.49639129638672,-112.03630065917969,26280,25597,0.9740106544901066,8616,8464,0.9823584029712163
49-035-3013,O3,40.49639129638672,-112.03630065917969,26280,25960,0.9878234398782344,8616,8526,0.9895543175487466
49-035-3013,CO,40.49639129638672,-112.03630065917969,26280,0,0.0,8616,0,0.0
49-035-3013,SO2,40.49639129638672,-112.03630065917969,26280,0,0.0,8616,0,0.0
49-035-3015,PM2.5,40.77714538574219,-111.94584655761719,26280,26229,0.9980593607305936,8616,8598,0.9979108635097493
49-035-3015,NO2,40.77714538574219,-111.94584655761719,26280,25647,0.9759132420091324,8616,8188,0.9503249767873724
49-035-3015,O3,40.77714538574219,-111.94584655761719,26280,25771,0.9806316590563166,8616,8468,0.9828226555246053
49-035-3015,CO,40.77714538574219,-111.94584655761719,26280,25776,0.9808219178082191,8616,8519,0.9887418755803157
49-035-3015,SO2,40.77714538574219,-111.94584655761719,26280,25764,0.9803652968036529,8616,8537,0.9908310120705663
49-035-3016,PM2.5,40.80789566040039,-112.08771514892578,26280,23491,0.8938736681887367,8616,8521,0.9889740018570102
49-035-3016,NO2,40.80789566040039,-112.08771514892578,26280,23709,0.9021689497716895,8616,8453,0.9810817084493965
49-035-3016,O3,40.80789566040039,-112.08771514892578,26280,23918,0.9101217656012176,8616,8517,0.9885097493036211
49-035-3016,CO,40.80789566040039,-112.08771514892578,26280,0,0.0,8616,0,0.0
49-035-3016,SO2,40.80789566040039,-112.08771514892578,26280,0,0.0,8616,0,0.0
49-035-4002,PM2.5,40.662960052490234,-111.90184783935547,26280,26212,0.9974124809741248,8616,8591,0.9970984215413184
49-035-4002,NO2,40.662960052490234,-111.90184783935547,26280,25808,0.9820395738203958,8616,8450,0.9807335190343547
49-035-4002,O3,40.662960052490234,-111.90184783935547,26280,26047,0.9911339421613394,8616,8455,0.981313834726091
49-035-4002,CO,40.662960052490234,-111.90184783935547,26280,26060,0.9916286149162862,8616,8523,0.9892061281337048
49-035-4002,SO2,40.662960052490234,-111.90184783935547,26280,0,0.0,8616,0,0.0
