CBSA Name,eligible_sites,pm25_sites,pm25_plus_any_two_sites,core_pm25_no2_o3_sites,mean_pollutants_per_site,network_pollutant_count,selection_score
"Las Vegas-Henderson-Paradise, NV",16,14,14,3,3.1875,6,130
"Salt Lake City, UT",9,8,8,8,3.888888888888889,5,126
"Phoenix-Mesa-Scottsdale, AZ",44,11,9,2,2.0,6,100
"Boston-Cambridge-Newton, MA-NH",13,10,7,4,2.6923076923076925,6,99
"Houston-The Woodlands-Sugar Land, TX",25,8,4,4,2.16,5,89
"New York-Newark-Jersey City, NY-NJ-PA",29,9,5,3,1.9310344827586208,5,87
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",20,13,5,1,2.0,6,80
"Dallas-Fort Worth-Arlington, TX",21,5,4,3,1.9047619047619047,5,75
"Washington-Arlington-Alexandria, DC-VA-MD-WV",18,7,5,2,2.2222222222222223,6,74
"Riverside-San Bernardino-Ontario, CA",23,5,3,3,2.347826086956522,6,72
"Chicago-Naperville-Elgin, IL-IN-WI",31,12,3,1,1.6774193548387097,6,70
"Minneapolis-St. Paul-Bloomington, MN-WI",19,8,3,2,1.894736842105263,6,69
"Pittsburgh, PA",15,8,6,1,2.2,6,69
"Cincinnati, OH-KY-IN",15,7,4,2,1.9333333333333333,6,67
"Denver-Aurora-Lakewood, CO",16,7,3,2,1.9375,6,64
"Sacramento--Roseville--Arden-Arcade, CA",15,7,3,2,1.9333333333333333,5,62
"St. Louis, MO-IL",25,7,3,1,1.68,6,60
"Detroit-Warren-Dearborn, MI",13,8,6,0,2.4615384615384617,6,59
"Fresno, CA",9,6,4,2,2.6666666666666665,5,58
"Indianapolis-Carmel-Anderson, IN",12,5,2,2,1.75,6,52
"Tampa-St. Petersburg-Clearwater, FL",18,4,3,1,1.6666666666666667,6,52
"Albuquerque, NM",7,5,3,2,2.857142857142857,6,51
"Louisville/Jefferson County, KY-IN",9,6,4,1,2.3333333333333335,6,51
