CBSA Name,site_id,pollutant,Local Site Name,State Name,County Name,City Name,Latitude,Longitude,years,min_observation_percent,mean_observation_percent,min_observation_count
"Aberdeen, SD",46-013-0004,PM10,Aberdeen Bus Stop,South Dakota,Brown,Aberdeen,45.468596,-98.494061,4,95,96.75,8349
"Aberdeen, SD",46-013-0004,PM2.5,Aberdeen Bus Stop,South Dakota,Brown,Aberdeen,45.468596,-98.494061,4,90,95.0,7863
"Adrian, MI",26-091-0007,O3,"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",Michigan,Lenawee,Tecumseh,41.995568,-83.946559,4,96,98.75,5552
"Adrian, MI",26-091-0007,PM2.5,"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",Michigan,Lenawee,Tecumseh,41.995568,-83.946559,4,87,93.5,7659
"Akron, OH",39-133-1001,O3,Lake Rockwell,Ohio,Portage,,41.182466,-81.330486,4,98,99.25,5501
"Akron, OH",39-153-0017,PM2.5,East HS,Ohio,Summit,Akron,41.063526,-81.468956,4,86,91.25,7527
"Akron, OH",39-153-0017,SO2,East HS,Ohio,Summit,Akron,41.063526,-81.468956,4,98,98.75,8555
"Akron, OH",39-153-0026,O3,North HS,Ohio,Summit,Akron,41.103028,-81.496253,4,82,95.0,4756
"Albany, GA",13-095-0007,PM2.5,Albany,Georgia,Dougherty,Albany,31.5776,-84.0998,4,87,95.0,7645
"Albany-Schenectady-Troy, NY",36-001-0005,PM2.5,ALBANY COUNTY HEALTH DEPT,New York,Albany,Albany,42.64225,-73.75464,4,96,97.5,8375
"Albany-Schenectady-Troy, NY",36-001-0012,O3,LOUDONVILLE,New York,Albany,Albany,42.68075,-73.75733,4,96,98.5,7201
"Albany-Schenectady-Troy, NY",36-091-0004,O3,STILLWATER,New York,Saratoga,,43.01209,-73.6489,4,99,99.25,8194
"Albuquerque, NM",35-001-0023,CO,DEL NORTE HIGH SCHOOL,New Mexico,Bernalillo,Albuquerque,35.1343,-106.5852,4,79,85.25,6922
"Albuquerque, NM",35-001-0023,NO2,DEL NORTE HIGH SCHOOL,New Mexico,Bernalillo,Albuquerque,35.1343,-106.5852,4,90,91.5,7862
"Albuquerque, NM",35-001-0023,O3,DEL NORTE HIGH SCHOOL,New Mexico,Bernalillo,Albuquerque,35.1343,-106.5852,4,90,94.0,7817
"Albuquerque, NM",35-001-0023,PM10,DEL NORTE HIGH SCHOOL,New Mexico,Bernalillo,Albuquerque,35.1343,-106.5852,4,96,98.0,8421
"Albuquerque, NM",35-001-0023,PM2.5,DEL NORTE HIGH SCHOOL,New Mexico,Bernalillo,Albuquerque,35.1343,-106.5852,4,96,98.0,8421
"Albuquerque, NM",35-001-0023,SO2,DEL NORTE HIGH SCHOOL,New Mexico,Bernalillo,Albuquerque,35.1343,-106.5852,4,87,91.25,7610
"Albuquerque, NM",35-001-0026,PM10,JEFFERSON,New Mexico,Bernalillo,Albuquerque,35.1443,-106.60468,4,90,95.5,7881
"Albuquerque, NM",35-001-0026,PM2.5,JEFFERSON,New Mexico,Bernalillo,Albuquerque,35.1443,-106.60468,4,90,95.5,7881
"Albuquerque, NM",35-001-0029,CO,SOUTH VALLEY,New Mexico,Bernalillo,South Valley,35.01708,-106.65739,4,80,85.0,7006
"Albuquerque, NM",35-001-0029,NO2,SOUTH VALLEY,New Mexico,Bernalillo,South Valley,35.01708,-106.65739,4,88,92.0,7707
"Albuquerque, NM",35-001-0029,O3,SOUTH VALLEY,New Mexico,Bernalillo,South Valley,35.01708,-106.65739,4,95,95.5,8134
"Albuquerque, NM",35-001-0029,PM10,SOUTH VALLEY,New Mexico,Bernalillo,South Valley,35.01708,-106.65739,4,94,97.25,8244
"Albuquerque, NM",35-001-0029,PM2.5,SOUTH VALLEY,New Mexico,Bernalillo,South Valley,35.01708,-106.65739,4,94,97.25,8244
"Albuquerque, NM",35-001-1012,O3,Foothills,New Mexico,Bernalillo,Albuquerque,35.1852,-106.50815,4,96,97.25,8415
"Albuquerque, NM",35-001-1012,PM10,Foothills,New Mexico,Bernalillo,Albuquerque,35.1852,-106.50815,4,98,98.5,8592
"Albuquerque, NM",35-001-1012,PM2.5,Foothills,New Mexico,Bernalillo,Albuquerque,35.1852,-106.50815,4,97,98.5,8508
"Albuquerque, NM",35-001-1013,PM10,NORTH VALLEY,New Mexico,Bernalillo,North Valley,35.19324,-106.613815,4,97,98.0,8522
"Albuquerque, NM",35-001-1013,PM2.5,NORTH VALLEY,New Mexico,Bernalillo,North Valley,35.19324,-106.613815,4,97,98.0,8522
"Albuquerque, NM",35-043-1001,O3,2ZJ Bernalillo,New Mexico,Sandoval,,35.299484,-106.548914,4,93,97.25,8171
"Albuquerque, NM",35-061-0008,O3,2LL Los Lunas,New Mexico,Valencia,,34.8147,-106.7396,4,98,98.5,8625
"Allentown-Bethlehem-Easton, PA-NJ",34-041-0007,NO2,Columbia,New Jersey,Warren,Knowlton (Township of),40.92458,-75.067815,4,91,94.25,7997
"Allentown-Bethlehem-Easton, PA-NJ",34-041-0007,O3,Columbia,New Jersey,Warren,Knowlton (Township of),40.92458,-75.067815,4,98,99.0,7809
"Allentown-Bethlehem-Easton, PA-NJ",34-041-0007,PM2.5,Columbia,New Jersey,Warren,Knowlton (Township of),40.92458,-75.067815,4,87,90.75,7644
"Allentown-Bethlehem-Easton, PA-NJ",34-041-0007,SO2,Columbia,New Jersey,Warren,Knowlton (Township of),40.92458,-75.067815,4,92,92.5,8037
"Allentown-Bethlehem-Easton, PA-NJ",42-077-0004,O3,Allentown,Pennsylvania,Lehigh,Allentown,40.611944,-75.4325,4,91,92.5,5170
"Allentown-Bethlehem-Easton, PA-NJ",42-077-0004,PM2.5,Allentown,Pennsylvania,Lehigh,Allentown,40.611944,-75.4325,4,87,94.0,7612
"Allentown-Bethlehem-Easton, PA-NJ",42-095-0025,NO2,Freemansburg,Pennsylvania,Northampton,Freemansburg,40.628056,-75.341111,4,84,87.5,7341
"Allentown-Bethlehem-Easton, PA-NJ",42-095-0025,O3,Freemansburg,Pennsylvania,Northampton,Freemansburg,40.628056,-75.341111,4,89,96.0,5428
"Allentown-Bethlehem-Easton, PA-NJ",42-095-0025,PM2.5,Freemansburg,Pennsylvania,Northampton,Freemansburg,40.628056,-75.341111,4,95,97.25,8361
"Allentown-Bethlehem-Easton, PA-NJ",42-095-0025,SO2,Freemansburg,Pennsylvania,Northampton,Freemansburg,40.628056,-75.341111,4,93,94.25,8149
"Altoona, PA",42-013-0801,O3,Altoona,Pennsylvania,Blair,Altoona,40.535278,-78.370833,4,57,77.25,4641
"Altoona, PA",42-013-0801,PM2.5,Altoona,Pennsylvania,Blair,Altoona,40.535278,-78.370833,4,89,94.25,7812
"Altoona, PA",42-013-0801,SO2,Altoona,Pennsylvania,Blair,Altoona,40.535278,-78.370833,4,88,90.75,7741
"Amarillo, TX",48-375-0320,PM2.5,Amarillo A&M,Texas,Potter,Amarillo,35.201592,-101.909275,4,87,95.0,7608
"Amarillo, TX",48-375-1025,SO2,Amarillo 24th Avenue,Texas,Potter,Amarillo,35.236745,-101.787378,4,92,95.5,8086
"Amarillo, TX",48-375-1077,SO2,Amarillo Xcel El Rancho,Texas,Potter,Amarillo,35.316482,-101.741719,4,93,95.25,8122
"Amarillo, TX",48-381-9991,O3,Palo Duro,Texas,Randall,,34.8803,-101.6649,4,91,96.75,7741
"Americus, GA",13-261-1001,O3,Leslie,Georgia,Sumter,Leslie (RR name Leslie-DeSoto),31.954286,-84.08101,4,97,99.25,5783
"Anchorage, AK",02-020-0018,CO,GARDEN/TRINITY CHRISTIAN CHURCH,Alaska,Anchorage ,Anchorage,61.205861,-149.824602,4,82,88.25,7230
"Anchorage, AK",02-020-0018,PM10,GARDEN/TRINITY CHRISTIAN CHURCH,Alaska,Anchorage ,Anchorage,61.205861,-149.824602,4,87,93.75,7656
"Anchorage, AK",02-020-0018,PM2.5,GARDEN/TRINITY CHRISTIAN CHURCH,Alaska,Anchorage ,Anchorage,61.205861,-149.824602,4,96,96.0,8406
"Anchorage, AK",02-020-0045,PM10,ON THE ROOF OF THE TUDOR PROFESSIONAL BUILDING,Alaska,Anchorage ,Anchorage,61.181117,-149.834003,4,93,94.75,8204
"Anchorage, AK",02-020-1004,PM10,PARKGATE/EAGLE RIVER,Alaska,Anchorage ,Anchorage,61.3267,-149.569707,4,90,93.5,7920
"Ann Arbor, MI",26-161-0008,O3,"YPSILANTI TOWNER ST, SOUTH;",Michigan,Washtenaw,Ypsilanti,42.240556,-83.599722,4,97,99.0,5514
"Ann Arbor, MI",26-161-0008,PM2.5,"YPSILANTI TOWNER ST, SOUTH;",Michigan,Washtenaw,Ypsilanti,42.240556,-83.599722,4,97,98.5,8508
"Ann Arbor, MI",26-161-9991,O3,Ann Arbor,Michigan,Washtenaw,,42.416636,-83.902185,4,94,97.0,8044
"Appleton, WI",55-087-0009,O3,APPLETON - AAL,Wisconsin,Outagamie,Appleton,44.30738,-88.39509,4,98,99.5,4806
"Appleton, WI",55-087-0009,PM2.5,APPLETON - AAL,Wisconsin,Outagamie,Appleton,44.30738,-88.39509,4,99,99.5,8648
"Appleton, WI",55-087-0015,SO2,Kaukauna,Wisconsin,Outagamie,Kaukauna,44.2893,-88.25219,4,98,98.75,8552
"Ardmore, OK",40-019-0297,PM2.5,HEALDTON,Oklahoma,Carter,Healdton,34.244189,-97.462931,4,87,90.25,7632
"Arkadelphia, AR",05-019-9991,O3,Caddo Valley,Arkansas,Clark,,34.1795,-93.0988,4,90,96.25,7749
"Asheville, NC",37-021-0030,O3,Bent Creek,North Carolina,Buncombe,Bent Creek,35.500102,-82.59986,4,99,99.75,5587
"Asheville, NC",37-021-0034,PM2.5,Board Of Ed. Bldg.,North Carolina,Buncombe,Asheville,35.6062,-82.5844,4,97,97.25,8467
"Asheville, NC",37-087-0008,O3,Waynesville School,North Carolina,Haywood,,35.507224,-82.963625,4,99,99.75,5552
"Asheville, NC",37-087-0013,SO2,Canton,North Carolina,Haywood,West Canton,35.534102,-82.852868,4,92,93.25,8048
"Asheville, NC",37-087-0035,O3,Frying Pan Mountain,North Carolina,Haywood,,35.379167,-82.7925,4,87,96.0,5543
"Asheville, NC",37-087-0036,O3,Purchase Knob,North Carolina,Haywood,Waynesville,35.587144,-83.074156,4,94,98.0,5543
"Ashtabula, OH",39-007-1001,O3,Conneaut,Ohio,Ashtabula,Conneaut,41.959695,-80.572808,4,98,99.5,5509
"Athens, TN",47-107-1002,PM2.5,Athens,Tennessee,McMinn,Athens,35.450115,-84.596195,4,97,97.25,8474
"Athens-Clarke County, GA",13-059-0002,O3,Athens,Georgia,Clarke,Athens (corp name Athens-Clarke County),33.918137,-83.344385,4,99,99.75,5807
"Athens-Clarke County, GA",13-059-0002,PM2.5,Athens,Georgia,Clarke,Athens (corp name Athens-Clarke County),33.918137,-83.344385,4,98,98.25,8564
"Atlanta-Sandy Springs-Roswell, GA",13-067-0003,O3,Kennesaw,Georgia,Cobb,Kennesaw,34.015436,-84.607423,4,99,99.5,5756
"Atlanta-Sandy Springs-Roswell, GA",13-085-0001,O3,Dawsonville,Georgia,Dawson,,34.376227,-84.059506,4,100,100.0,5830
"Atlanta-Sandy Springs-Roswell, GA",13-089-0002,CO,South DeKalb,Georgia,DeKalb,,33.6878,-84.2905,4,91,95.25,7993
"Atlanta-Sandy Springs-Roswell, GA",13-089-0002,NO2,South DeKalb,Georgia,DeKalb,,33.6878,-84.2905,4,55,83.75,4788
"Atlanta-Sandy Springs-Roswell, GA",13-089-0002,O3,South DeKalb,Georgia,DeKalb,,33.6878,-84.2905,4,99,99.25,8542
"Atlanta-Sandy Springs-Roswell, GA",13-089-0002,PM10,South DeKalb,Georgia,DeKalb,,33.6878,-84.2905,4,90,94.75,7876
"Atlanta-Sandy Springs-Roswell, GA",13-089-0002,PM2.5,South DeKalb,Georgia,DeKalb,,33.6878,-84.2905,4,97,98.25,8485
"Atlanta-Sandy Springs-Roswell, GA",13-089-0002,SO2,South DeKalb,Georgia,DeKalb,,33.6878,-84.2905,4,95,96.75,8363
"Atlanta-Sandy Springs-Roswell, GA",13-089-0003,NO2,NR-285,Georgia,DeKalb,Atlanta,33.698643,-84.272614,4,93,96.0,8184
"Atlanta-Sandy Springs-Roswell, GA",13-097-0004,O3,Douglasville,Georgia,Douglas,Douglasville,33.741242,-84.776429,4,99,99.75,5781
"Atlanta-Sandy Springs-Roswell, GA",13-121-0055,O3,United Avenue,Georgia,Fulton,Atlanta,33.720742,-84.357316,4,95,98.0,5550
"Atlanta-Sandy Springs-Roswell, GA",13-121-0055,SO2,United Avenue,Georgia,Fulton,Atlanta,33.720742,-84.357316,4,95,96.5,8290
"Atlanta-Sandy Springs-Roswell, GA",13-121-0056,CO,NR-GA Tech,Georgia,Fulton,Atlanta,33.7784,-84.3914,4,95,96.5,8360
"Atlanta-Sandy Springs-Roswell, GA",13-121-0056,NO2,NR-GA Tech,Georgia,Fulton,Atlanta,33.7784,-84.3914,4,95,96.75,8284
"Atlanta-Sandy Springs-Roswell, GA",13-135-0002,O3,Gwinnett,Georgia,Gwinnett,,33.9632,-84.0691,4,96,99.0,5578
"Atlanta-Sandy Springs-Roswell, GA",13-135-0002,PM2.5,Gwinnett,Georgia,Gwinnett,,33.9632,-84.0691,4,89,96.0,7792
"Atlanta-Sandy Springs-Roswell, GA",13-151-0002,O3,McDonough,Georgia,Henry,McDonough,33.433949,-84.161811,4,94,98.25,5551
"Atlanta-Sandy Springs-Roswell, GA",13-231-9991,O3,Georgia Station,Georgia,Pike,,33.1787,-84.4052,4,95,96.5,7875
"Atlanta-Sandy Springs-Roswell, GA",13-247-0001,O3,Conyers,Georgia,Rockdale,Conyers,33.588545,-84.069608,4,99,99.25,5767
"Atlantic City-Hammonton, NJ",34-001-0006,O3,Brigantine,New Jersey,Atlantic,Galloway (Township of),39.464872,-74.448736,4,92,95.75,8205
"Atlantic City-Hammonton, NJ",34-001-0006,PM2.5,Brigantine,New Jersey,Atlantic,Galloway (Township of),39.464872,-74.448736,4,84,90.5,7366
"Atlantic City-Hammonton, NJ",34-001-0006,SO2,Brigantine,New Jersey,Atlantic,Galloway (Township of),39.464872,-74.448736,4,93,93.25,8161
"Augusta-Richmond County, GA-SC",13-073-0001,O3,Evans,Georgia,Columbia,Evans,33.582044,-82.131249,4,70,92.25,4098
"Augusta-Richmond County, GA-SC",13-245-0091,O3,Augusta,Georgia,Richmond,Augusta,33.4339,-82.0224,4,97,97.75,5639
"Augusta-Richmond County, GA-SC",13-245-0091,PM10,Augusta,Georgia,Richmond,Augusta,33.4339,-82.0224,4,53,84.5,4606
"Augusta-Richmond County, GA-SC",13-245-0091,PM2.5,Augusta,Georgia,Richmond,Augusta,33.4339,-82.0224,4,86,94.0,7510
"Augusta-Richmond County, GA-SC",13-245-0091,SO2,Augusta,Georgia,Richmond,Augusta,33.4339,-82.0224,4,94,96.25,8253
"Augusta-Richmond County, GA-SC",45-003-0003,O3,JACKSON MIDDLE SCHOOL,South Carolina,Aiken,Jackson,33.342226,-81.788731,4,97,99.0,6364
"Augusta-Richmond County, GA-SC",45-037-0001,O3,TRENTON,South Carolina,Edgefield,,33.739963,-81.853635,4,92,98.0,7723
"Augusta-Waterville, ME",23-011-2001,O3,,Maine,Kennebec,Gardiner,44.226737,-69.788656,4,86,94.75,4041
"Austin-Round Rock, TX",48-453-0014,NO2,Austin North Hills Drive,Texas,Travis,Austin,30.354934,-97.761737,4,75,86.5,6566
"Austin-Round Rock, TX",48-453-0014,O3,Austin North Hills Drive,Texas,Travis,Austin,30.354934,-97.761737,4,93,96.75,8301
"Austin-Round Rock, TX",48-453-0014,PM2.5,Austin North Hills Drive,Texas,Travis,Austin,30.354934,-97.761737,4,93,94.25,8110
"Austin-Round Rock, TX",48-453-0014,SO2,Austin North Hills Drive,Texas,Travis,Austin,30.354934,-97.761737,4,76,85.75,6696
"Austin-Round Rock, TX",48-453-0020,O3,Austin Audubon Society,Texas,Travis,Leander,30.483166,-97.872324,4,81,93.5,7614
"Austin-Round Rock, TX",48-453-0021,PM2.5,Austin Webberville Rd,Texas,Travis,Austin,30.263207,-97.712885,4,83,93.0,7255
"Austin-Round Rock, TX",48-453-1068,CO,Austin North Interstate 35,Texas,Travis,Austin,30.35384,-97.691587,4,79,91.5,6877
"Austin-Round Rock, TX",48-453-1068,NO2,Austin North Interstate 35,Texas,Travis,Austin,30.35384,-97.691587,4,76,87.0,6692
"Austin-Round Rock, TX",48-453-1068,PM2.5,Austin North Interstate 35,Texas,Travis,Austin,30.35384,-97.691587,4,95,97.25,8308
"Bakersfield, CA",06-029-0007,NO2,Edison,California,Kern,,35.345607,-118.851825,4,91,94.25,7989
"Bakersfield, CA",06-029-0007,O3,Edison,California,Kern,,35.345607,-118.851825,4,98,98.5,8337
"Bakersfield, CA",06-029-0008,O3,Maricopa,California,Kern,Maricopa,35.051454,-119.40262,4,77,92.5,6561
"Bakersfield, CA",06-029-0010,PM2.5,Bakersfield-Golden / M St,California,Kern,Bakersfield,35.385574,-119.015009,4,86,94.25,7576
"Bakersfield, CA",06-029-0014,NO2,Bakersfield-California,California,Kern,Bakersfield,35.356615,-119.062613,4,77,90.0,6728
"Bakersfield, CA",06-029-0014,O3,Bakersfield-California,California,Kern,Bakersfield,35.356615,-119.062613,4,98,98.75,8233
"Bakersfield, CA",06-029-0014,PM10,Bakersfield-California,California,Kern,Bakersfield,35.356615,-119.062613,4,91,96.25,7951
"Bakersfield, CA",06-029-0017,PM10,Canebrake,California,Kern,,35.72771,-118.13774,4,86,91.0,7530
"Bakersfield, CA",06-029-0018,PM10,Ridgecrest-Ward,California,Kern,Ridgecrest,35.642943,-117.715066,4,98,98.5,8595
"Bakersfield, CA",06-029-0018,PM2.5,Ridgecrest-Ward,California,Kern,Ridgecrest,35.642943,-117.715066,4,96,97.25,8393
"Bakersfield, CA",06-029-0232,O3,Oildale,California,Kern,Oildale,35.438035,-119.016787,4,85,94.75,7160
"Bakersfield, CA",06-029-0232,PM10,Oildale,California,Kern,Oildale,35.438035,-119.016787,4,96,97.5,8419
"Bakersfield, CA",06-029-2012,CO,Bakersfield-Muni,California,Kern,Bakersfield,35.331612,-118.999961,4,91,92.25,8020
"Bakersfield, CA",06-029-2012,NO2,Bakersfield-Muni,California,Kern,Bakersfield,35.331612,-118.999961,4,90,91.75,7872
"Bakersfield, CA",06-029-2012,O3,Bakersfield-Muni,California,Kern,Bakersfield,35.331612,-118.999961,4,91,94.0,7659
"Bakersfield, CA",06-029-2019,NO2,Bakersfield-Westwind,California,Kern,Bakersfield,35.376953,-119.043889,4,83,92.75,7283
"Bakersfield, CA",06-029-5002,O3,Arvin-Di Giorgio,California,Kern,Arvin,35.23918,-118.78863,4,94,95.75,8115
"Bakersfield, CA",06-029-6001,NO2,Shafter,California,Kern,Shafter,35.503587,-119.272606,4,87,91.0,7658
"Bakersfield, CA",06-029-6001,O3,Shafter,California,Kern,Shafter,35.503587,-119.272606,4,93,97.0,8022
"Baltimore-Columbia-Towson, MD",24-005-0009,NO2,Baltimore County Near Road,Maryland,Baltimore,Lochearn,39.371679,-76.746814,4,97,98.0,8482
"Baltimore-Columbia-Towson, MD",24-005-1007,O3,Padonia,Maryland,Baltimore,Cockeysville,39.460478,-76.633543,4,98,98.75,5740
"Baltimore-Columbia-Towson, MD",24-005-1007,PM2.5,Padonia,Maryland,Baltimore,Cockeysville,39.460478,-76.633543,4,93,95.75,8140
"Baltimore-Columbia-Towson, MD",24-005-3001,CO,Essex,Maryland,Baltimore,Essex,39.310833,-76.474444,4,73,87.25,6403
"Baltimore-Columbia-Towson, MD",24-005-3001,NO2,Essex,Maryland,Baltimore,Essex,39.310833,-76.474444,4,96,97.25,8430
"Baltimore-Columbia-Towson, MD",24-005-3001,O3,Essex,Maryland,Baltimore,Essex,39.310833,-76.474444,4,92,96.75,8217
"Baltimore-Columbia-Towson, MD",24-005-3001,SO2,Essex,Maryland,Baltimore,Essex,39.310833,-76.474444,4,93,94.25,8138
"Baltimore-Columbia-Towson, MD",24-013-0001,O3,South Carroll,Maryland,Carroll,,39.444294,-77.042252,4,99,99.25,5821
"Baltimore-Columbia-Towson, MD",24-025-1001,O3,Edgewood,Maryland,Harford,Edgewood,39.410191,-76.296946,4,84,95.0,4931
"Baltimore-Columbia-Towson, MD",24-025-1001,PM2.5,Edgewood,Maryland,Harford,Edgewood,39.410191,-76.296946,4,94,95.5,8259
"Baltimore-Columbia-Towson, MD",24-025-9001,O3,Aldino,Maryland,Harford,,39.563333,-76.203889,4,99,99.5,5790
"Baltimore-Columbia-Towson, MD",24-027-0006,CO,Howard County Near Road,Maryland,Howard,North Laurel,39.14313,-76.84611,4,85,91.75,7433
"Baltimore-Columbia-Towson, MD",24-027-0006,NO2,Howard County Near Road,Maryland,Howard,North Laurel,39.14313,-76.84611,4,91,93.25,7992
"Baltimore-Columbia-Towson, MD",24-027-0006,PM2.5,Howard County Near Road,Maryland,Howard,North Laurel,39.14313,-76.84611,4,85,94.0,7439
"Bangor, ME",23-019-0017,PM2.5,Mary Snow School,Maine,Penobscot,Bangor,44.817398,-68.772762,4,69,90.25,6052
"Bangor, ME",23-019-4008,O3,WLBZ TV Transmitter Building - Summit of Rider Bluff,Maine,Penobscot,,44.735978,-68.670752,4,98,98.75,5167
"Baraboo, WI",55-111-0007,O3,DEVILS LAKE PARK,Wisconsin,Sauk,,43.4351,-89.67979,4,98,99.25,4804
"Baraboo, WI",55-111-0007,PM10,DEVILS LAKE PARK,Wisconsin,Sauk,,43.4351,-89.67979,4,98,98.75,8622
"Baraboo, WI",55-111-0007,PM2.5,DEVILS LAKE PARK,Wisconsin,Sauk,,43.4351,-89.67979,4,98,99.25,8622
"Barnstable Town, MA",25-001-0002,O3,TRURO NATIONAL SEASHORE,Massachusetts,Barnstable,Truro,41.975804,-70.023598,4,96,97.0,8224
"Baton Rouge, LA",22-005-0004,NO2,Dutchtown,Louisiana,Ascension,,30.229653,-90.965628,4,90,94.0,7923
"Baton Rouge, LA",22-005-0004,O3,Dutchtown,Louisiana,Ascension,,30.229653,-90.965628,4,95,96.75,8256
"Baton Rouge, LA",22-033-0003,O3,LSU,Louisiana,East Baton Rouge,Baton Rouge,30.419805,-91.182016,4,94,97.5,8172
"Baton Rouge, LA",22-033-0009,CO,Capitol,Louisiana,East Baton Rouge,Baton Rouge,30.461981,-91.179219,4,71,81.25,6206
"Baton Rouge, LA",22-033-0009,NO2,Capitol,Louisiana,East Baton Rouge,Baton Rouge,30.461981,-91.179219,4,84,90.0,7338
"Baton Rouge, LA",22-033-0009,O3,Capitol,Louisiana,East Baton Rouge,Baton Rouge,30.461981,-91.179219,4,97,98.5,8409
"Baton Rouge, LA",22-033-0009,PM10,Capitol,Louisiana,East Baton Rouge,Baton Rouge,30.461981,-91.179219,4,97,97.25,8487
"Baton Rouge, LA",22-033-0009,PM2.5,Capitol,Louisiana,East Baton Rouge,Baton Rouge,30.461981,-91.179219,4,94,95.75,8267
"Baton Rouge, LA",22-033-0009,SO2,Capitol,Louisiana,East Baton Rouge,Baton Rouge,30.461981,-91.179219,4,94,96.75,8222
"Baton Rouge, LA",22-033-0013,NO2,Pride,Louisiana,East Baton Rouge,,30.700895,-91.056068,4,94,95.75,8266
"Baton Rouge, LA",22-033-0013,O3,Pride,Louisiana,East Baton Rouge,,30.700895,-91.056068,4,98,98.5,8469
"Baton Rouge, LA",22-047-0009,NO2,Bayou Plaquemine,Louisiana,Iberville,,30.221255,-91.315418,4,93,95.25,8164
"Baton Rouge, LA",22-047-0009,O3,Bayou Plaquemine,Louisiana,Iberville,,30.221255,-91.315418,4,96,97.25,8339
"Baton Rouge, LA",22-047-0012,O3,Carville,Louisiana,Iberville,St. Gabriel,30.204218,-91.126041,4,93,95.5,8122
"Baton Rouge, LA",22-063-0002,NO2,French Settlement,Louisiana,Livingston,French Settlement,30.315406,-90.811383,4,82,89.25,7160
"Baton Rouge, LA",22-063-0002,O3,French Settlement,Louisiana,Livingston,French Settlement,30.315406,-90.811383,4,86,94.75,7594
"Baton Rouge, LA",22-077-0001,O3,New Roads,Louisiana,Pointe Coupee,New Roads,30.681718,-91.366247,4,95,97.75,8237
"Baton Rouge, LA",22-121-0001,NO2,Port Allen,Louisiana,West Baton Rouge,,30.500642,-91.213556,4,90,93.5,7923
"Baton Rouge, LA",22-121-0001,O3,Port Allen,Louisiana,West Baton Rouge,,30.500642,-91.213556,4,98,98.25,8449
"Baton Rouge, LA",22-121-0001,SO2,Port Allen,Louisiana,West Baton Rouge,,30.500642,-91.213556,4,92,95.0,8086
"Bay City, MI",26-017-0014,PM2.5,"BAY CITY -JENISON ST ABOUT 70 FT WEST, 2 LANE RESIDENTIAL",Michigan,Bay,Bay City,43.571391,-83.890721,4,98,98.75,8542
"Beatrice, NE",31-067-0005,PM2.5,,Nebraska,Gage,Beatrice,40.285,-96.824166,4,52,76.75,4526
