CBSA Name,site_id,CO,NO2,O3,PM10,PM2.5,SO2,pollutant_count,has_pm25,pm25_plus_any_two,core_pm25_no2_o3
"Aberdeen, SD",46-013-0004,,,,95.0,90.0,,2,True,False,False
"Adrian, MI",26-091-0007,,,96.0,,87.0,,2,True,False,False
"Akron, OH",39-133-1001,,,98.0,,,,1,False,False,False
"Akron, OH",39-153-0017,,,,,86.0,98.0,2,True,False,False
"Akron, OH",39-153-0026,,,82.0,,,,1,False,False,False
"Albany, GA",13-095-0007,,,,,87.0,,1,True,False,False
"Albany-Schenectady-Troy, NY",36-001-0005,,,,,96.0,,1,True,False,False
"Albany-Schenectady-Troy, NY",36-001-0012,,,96.0,,,,1,False,False,False
"Albany-Schenectady-Troy, NY",36-091-0004,,,99.0,,,,1,False,False,False
"Albuquerque, NM",35-001-0023,79.0,90.0,90.0,96.0,96.0,87.0,6,True,True,True
"Albuquerque, NM",35-001-0026,,,,90.0,90.0,,2,True,False,False
"Albuquerque, NM",35-001-0029,80.0,88.0,95.0,94.0,94.0,,5,True,True,True
"Albuquerque, NM",35-001-1012,,,96.0,98.0,97.0,,3,True,True,False
"Albuquerque, NM",35-001-1013,,,,97.0,97.0,,2,True,False,False
"Albuquerque, NM",35-043-1001,,,93.0,,,,1,False,False,False
"Albuquerque, NM",35-061-0008,,,98.0,,,,1,False,False,False
"Allentown-Bethlehem-Easton, PA-NJ",34-041-0007,,91.0,98.0,,87.0,92.0,4,True,True,True
"Allentown-Bethlehem-Easton, PA-NJ",42-077-0004,,,91.0,,87.0,,2,True,False,False
"Allentown-Bethlehem-Easton, PA-NJ",42-095-0025,,84.0,89.0,,95.0,93.0,4,True,True,True
"Altoona, PA",42-013-0801,,,57.0,,89.0,88.0,3,True,True,False
"Amarillo, TX",48-375-0320,,,,,87.0,,1,True,False,False
"Amarillo, TX",48-375-1025,,,,,,92.0,1,False,False,False
"Amarillo, TX",48-375-1077,,,,,,93.0,1,False,False,False
"Amarillo, TX",48-381-9991,,,91.0,,,,1,False,False,False
"Americus, GA",13-261-1001,,,97.0,,,,1,False,False,False
"Anchorage, AK",02-020-0018,82.0,,,87.0,96.0,,3,True,True,False
"Anchorage, AK",02-020-0045,,,,93.0,,,1,False,False,False
"Anchorage, AK",02-020-1004,,,,90.0,,,1,False,False,False
"Ann Arbor, MI",26-161-0008,,,97.0,,97.0,,2,True,False,False
"Ann Arbor, MI",26-161-9991,,,94.0,,,,1,False,False,False
"Appleton, WI",55-087-0009,,,98.0,,99.0,,2,True,False,False
"Appleton, WI",55-087-0015,,,,,,98.0,1,False,False,False
"Ardmore, OK",40-019-0297,,,,,87.0,,1,True,False,False
"Arkadelphia, AR",05-019-9991,,,90.0,,,,1,False,False,False
"Asheville, NC",37-021-0030,,,99.0,,,,1,False,False,False
"Asheville, NC",37-021-0034,,,,,97.0,,1,True,False,False
"Asheville, NC",37-087-0008,,,99.0,,,,1,False,False,False
"Asheville, NC",37-087-0013,,,,,,92.0,1,False,False,False
"Asheville, NC",37-087-0035,,,87.0,,,,1,False,False,False
"Asheville, NC",37-087-0036,,,94.0,,,,1,False,False,False
"Ashtabula, OH",39-007-1001,,,98.0,,,,1,False,False,False
"Athens, TN",47-107-1002,,,,,97.0,,1,True,False,False
"Athens-Clarke County, GA",13-059-0002,,,99.0,,98.0,,2,True,False,False
"Atlanta-Sandy Springs-Roswell, GA",13-067-0003,,,99.0,,,,1,False,False,False
"Atlanta-Sandy Springs-Roswell, GA",13-085-0001,,,100.0,,,,1,False,False,False
"Atlanta-Sandy Springs-Roswell, GA",13-089-0002,91.0,55.0,99.0,90.0,97.0,95.0,6,True,True,True
"Atlanta-Sandy Springs-Roswell, GA",13-089-0003,,93.0,,,,,1,False,False,False
"Atlanta-Sandy Springs-Roswell, GA",13-097-0004,,,99.0,,,,1,False,False,False
"Atlanta-Sandy Springs-Roswell, GA",13-121-0055,,,95.0,,,95.0,2,False,False,False
"Atlanta-Sandy Springs-Roswell, GA",13-121-0056,95.0,95.0,,,,,2,False,False,False
"Atlanta-Sandy Springs-Roswell, GA",13-135-0002,,,96.0,,89.0,,2,True,False,False
"Atlanta-Sandy Springs-Roswell, GA",13-151-0002,,,94.0,,,,1,False,False,False
"Atlanta-Sandy Springs-Roswell, GA",13-231-9991,,,95.0,,,,1,False,False,False
"Atlanta-Sandy Springs-Roswell, GA",13-247-0001,,,99.0,,,,1,False,False,False
"Atlantic City-Hammonton, NJ",34-001-0006,,,92.0,,84.0,93.0,3,True,True,False
"Augusta-Richmond County, GA-SC",13-073-0001,,,70.0,,,,1,False,False,False
"Augusta-Richmond County, GA-SC",13-245-0091,,,97.0,53.0,86.0,94.0,4,True,True,False
"Augusta-Richmond County, GA-SC",45-003-0003,,,97.0,,,,1,False,False,False
"Augusta-Richmond County, GA-SC",45-037-0001,,,92.0,,,,1,False,False,False
"Augusta-Waterville, ME",23-011-2001,,,86.0,,,,1,False,False,False
"Austin-Round Rock, TX",48-453-0014,,75.0,93.0,,93.0,76.0,4,True,True,True
"Austin-Round Rock, TX",48-453-0020,,,81.0,,,,1,False,False,False
"Austin-Round Rock, TX",48-453-0021,,,,,83.0,,1,True,False,False
"Austin-Round Rock, TX",48-453-1068,79.0,76.0,,,95.0,,3,True,True,False
"Bakersfield, CA",06-029-0007,,91.0,98.0,,,,2,False,False,False
"Bakersfield, CA",06-029-0008,,,77.0,,,,1,False,False,False
"Bakersfield, CA",06-029-0010,,,,,86.0,,1,True,False,False
"Bakersfield, CA",06-029-0014,,77.0,98.0,91.0,,,3,False,False,False
"Bakersfield, CA",06-029-0017,,,,86.0,,,1,False,False,False
"Bakersfield, CA",06-029-0018,,,,98.0,96.0,,2,True,False,False
"Bakersfield, CA",06-029-0232,,,85.0,96.0,,,2,False,False,False
"Bakersfield, CA",06-029-2012,91.0,90.0,91.0,,,,3,False,False,False
"Bakersfield, CA",06-029-2019,,83.0,,,,,1,False,False,False
"Bakersfield, CA",06-029-5002,,,94.0,,,,1,False,False,False
"Bakersfield, CA",06-029-6001,,87.0,93.0,,,,2,False,False,False
"Baltimore-Columbia-Towson, MD",24-005-0009,,97.0,,,,,1,False,False,False
"Baltimore-Columbia-Towson, MD",24-005-1007,,,98.0,,93.0,,2,True,False,False
"Baltimore-Columbia-Towson, MD",24-005-3001,73.0,96.0,92.0,,,93.0,4,False,False,False
"Baltimore-Columbia-Towson, MD",24-013-0001,,,99.0,,,,1,False,False,False
"Baltimore-Columbia-Towson, MD",24-025-1001,,,84.0,,94.0,,2,True,False,False
"Baltimore-Columbia-Towson, MD",24-025-9001,,,99.0,,,,1,False,False,False
"Baltimore-Columbia-Towson, MD",24-027-0006,85.0,91.0,,,85.0,,3,True,True,False
"Bangor, ME",23-019-0017,,,,,69.0,,1,True,False,False
"Bangor, ME",23-019-4008,,,98.0,,,,1,False,False,False
"Baraboo, WI",55-111-0007,,,98.0,98.0,98.0,,3,True,True,False
"Barnstable Town, MA",25-001-0002,,,96.0,,,,1,False,False,False
"Baton Rouge, LA",22-005-0004,,90.0,95.0,,,,2,False,False,False
"Baton Rouge, LA",22-033-0003,,,94.0,,,,1,False,False,False
"Baton Rouge, LA",22-033-0009,71.0,84.0,97.0,97.0,94.0,94.0,6,True,True,True
"Baton Rouge, LA",22-033-0013,,94.0,98.0,,,,2,False,False,False
"Baton Rouge, LA",22-047-0009,,93.0,96.0,,,,2,False,False,False
"Baton Rouge, LA",22-047-0012,,,93.0,,,,1,False,False,False
"Baton Rouge, LA",22-063-0002,,82.0,86.0,,,,2,False,False,False
"Baton Rouge, LA",22-077-0001,,,95.0,,,,1,False,False,False
"Baton Rouge, LA",22-121-0001,,90.0,98.0,,,92.0,3,False,False,False
"Bay City, MI",26-017-0014,,,,,98.0,,1,True,False,False
"Beatrice, NE",31-067-0005,,,,,52.0,,1,True,False,False
"Beaumont-Port Arthur, TX",48-245-0009,,95.0,93.0,,,93.0,3,False,False,False
"Beaumont-Port Arthur, TX",48-245-0011,,,84.0,,,93.0,2,False,False,False
"Beaumont-Port Arthur, TX",48-245-0021,,,,,96.0,,1,True,False,False
"Beaumont-Port Arthur, TX",48-245-0022,,79.0,82.0,,78.0,,3,True,True,True
"Beaumont-Port Arthur, TX",48-245-0101,,,88.0,,,,1,False,False,False
"Beaumont-Port Arthur, TX",48-245-0102,,,92.0,,,,1,False,False,False
"Beaumont-Port Arthur, TX",48-245-1035,,52.0,57.0,,,,2,False,False,False
"Beaumont-Port Arthur, TX",48-245-1071,,,,,,77.0,1,False,False,False
"Beaumont-Port Arthur, TX",48-361-1001,,92.0,95.0,,,,2,False,False,False
"Beaumont-Port Arthur, TX",48-361-1083,,,,,,80.0,1,False,False,False
"Beaumont-Port Arthur, TX",48-361-1100,,,,,89.0,,1,True,False,False
"Beaver Dam, WI",55-027-0001,93.0,,99.0,100.0,100.0,92.0,5,True,True,False
"Bellingham, WA",53-073-0005,,,88.0,,,,1,False,False,False
"Bellingham, WA",53-073-0013,,,,,,93.0,1,False,False,False
"Bellingham, WA",53-073-0017,,,,,,95.0,1,False,False,False
"Bellingham, WA",53-073-0019,,,,,80.0,,1,True,False,False
"Bemidji, MN",27-007-2304,,,,,93.0,,1,True,False,False
"Bennington, VT",50-003-0004,,,96.0,,91.0,,2,True,False,False
"Berlin, NH-VT",33-007-4002,,,98.0,,,,1,False,False,False
"Big Spring, TX",48-227-1072,,,,,,73.0,1,False,False,False
"Billings, MT",30-111-0066,,,,,,87.0,1,False,False,False
"Billings, MT",30-111-0087,,,,,93.0,,1,True,False,False
"Birmingham-Hoover, AL",01-073-0023,91.0,87.0,93.0,94.0,,89.0,5,False,False,False
"Birmingham-Hoover, AL",01-073-1005,,,75.0,,,,1,False,False,False
"Birmingham-Hoover, AL",01-073-1010,,,91.0,,,,1,False,False,False
"Birmingham-Hoover, AL",01-073-2003,,,,99.0,,,1,False,False,False
"Birmingham-Hoover, AL",01-073-6002,,,98.0,93.0,,,2,False,False,False
"Birmingham-Hoover, AL",01-117-0004,,,97.0,,,,1,False,False,False
"Birmingham-Hoover, AL",01-117-9001,,,,,,91.0,1,False,False,False
"Bishop, CA",06-027-0002,83.0,,78.0,96.0,96.0,68.0,5,True,True,False
"Bishop, CA",06-027-0022,,,,97.0,,,1,False,False,False
"Bishop, CA",06-027-0023,,,,98.0,,,1,False,False,False
"Bishop, CA",06-027-0025,,,,98.0,,,1,False,False,False
"Bishop, CA",06-027-0026,,,,97.0,,,1,False,False,False
"Bishop, CA",06-027-0028,,,,92.0,,,1,False,False,False
"Bishop, CA",06-027-0029,,,,95.0,,,1,False,False,False
"Bishop, CA",06-027-0030,,,,98.0,,,1,False,False,False
"Bishop, CA",06-027-0031,,,,97.0,,,1,False,False,False
"Bishop, CA",06-027-0101,,,95.0,,,,1,False,False,False
"Bishop, CA",06-027-1001,,,,98.0,,,1,False,False,False
"Bishop, CA",06-027-1003,,,,98.0,97.0,,2,True,False,False
"Bishop, CA",06-027-1023,,,52.0,85.0,94.0,,3,True,True,False
"Bishop, CA",06-027-1028,,,,52.0,,,1,False,False,False
"Bishop, CA",06-027-1033,,,,,55.0,,1,True,False,False
"Bismarck, ND",38-015-0003,84.0,97.0,71.0,88.0,88.0,96.0,6,True,True,True
"Bismarck, ND",38-065-0002,,94.0,58.0,,97.0,93.0,4,True,True,True
"Blacksburg-Christiansburg-Radford, VA",51-071-0007,,,,,,86.0,1,False,False,False
"Blacksburg-Christiansburg-Radford, VA",51-071-9992,,,92.0,,,,1,False,False,False
"Bloomington, IL",17-113-2003,,,100.0,,99.0,,2,True,False,False
"Bloomington, IN",18-055-0001,,,94.0,,,,1,False,False,False
"Bloomington, IN",18-105-0003,,,,,92.0,,1,True,False,False
"Boise City, ID",16-001-0010,96.0,94.0,94.0,,,97.0,4,False,False,False
"Boise City, ID",16-001-0017,,,90.0,,,,1,False,False,False
"Borger, TX",48-233-1073,,,,,,82.0,1,False,False,False
"Boston-Cambridge-Newton, MA-NH",25-009-2006,,66.0,95.0,,73.0,,3,True,True,True
"Boston-Cambridge-Newton, MA-NH",25-017-0009,,,83.0,,,,1,False,False,False
"Boston-Cambridge-Newton, MA-NH",25-017-0010,,95.0,93.0,,99.0,,3,True,True,True
"Boston-Cambridge-Newton, MA-NH",25-021-2005,,71.0,86.0,,74.0,,3,True,True,True
"Boston-Cambridge-Newton, MA-NH",25-021-3003,,92.0,80.0,,,,2,False,False,False
"Boston-Cambridge-Newton, MA-NH",25-023-0005,,,96.0,,90.0,,2,True,False,False
"Boston-Cambridge-Newton, MA-NH",25-025-0002,,94.0,,,97.0,80.0,3,True,True,False
"Boston-Cambridge-Newton, MA-NH",25-025-0042,63.0,80.0,86.0,,99.0,92.0,5,True,True,True
"Boston-Cambridge-Newton, MA-NH",25-025-0044,,93.0,,,98.0,,2,True,False,False
"Boston-Cambridge-Newton, MA-NH",25-025-1004,,,,,71.0,,1,True,False,False
"Boston-Cambridge-Newton, MA-NH",33-015-0014,,,96.0,94.0,94.0,96.0,4,True,True,False
"Boston-Cambridge-Newton, MA-NH",33-015-0016,,,88.0,,,,1,False,False,False
"Boston-Cambridge-Newton, MA-NH",33-015-0018,87.0,,96.0,96.0,96.0,87.0,5,True,True,False
"Boulder, CO",08-013-0003,,,,,93.0,,1,True,False,False
"Boulder, CO",08-013-0014,,,92.0,,,,1,False,False,False
"Bowling Green, KY",21-061-0501,,,98.0,,,,1,False,False,False
"Bowling Green, KY",21-227-0009,,,98.0,,98.0,,2,True,False,False
"Bozeman, MT",30-031-0017,73.0,85.0,,,92.0,,3,True,True,False
"Brainerd, MN",27-021-3410,,,,,96.0,,1,True,False,False
"Brainerd, MN",27-035-3204,,,94.0,,89.0,,2,True,False,False
"Bremerton-Silverdale, WA",53-035-0007,,,,,96.0,,1,True,False,False
"Bridgeport-Stamford-Norwalk, CT",09-001-0010,,,,99.0,99.0,92.0,3,True,True,False
"Bridgeport-Stamford-Norwalk, CT",09-001-0017,,,94.0,,,,1,False,False,False
"Bridgeport-Stamford-Norwalk, CT",09-001-1123,,,96.0,,98.0,,2,True,False,False
"Bridgeport-Stamford-Norwalk, CT",09-001-3007,,,87.0,,,,1,False,False,False
"Bridgeport-Stamford-Norwalk, CT",09-001-9003,,90.0,96.0,,,,2,False,False,False
"Brookings, SD",46-011-0003,,,85.0,91.0,93.0,,3,True,True,False
"Brownsville-Harlingen, TX",48-061-1023,,,95.0,,,,1,False,False,False
"Brownsville-Harlingen, TX",48-061-2004,,,,,87.0,,1,True,False,False
"Brunswick, GA",13-127-0006,,,98.0,,,,1,False,False,False
"Buffalo-Cheektowaga-Niagara Falls, NY",36-029-0002,,,88.0,,,,1,False,False,False
