station,pollutant,latitude,longitude,train_hours,train_observed,train_coverage,validation_hours,validation_observed,validation_coverage
32-003-0540,PM2.5,36.141876220703125,-115.07874298095703,26280,25925,0.9864916286149162,8616,8532,0.9902506963788301
32-003-0540,NO2,36.141876220703125,-115.07874298095703,26280,25357,0.9648782343987824,8616,8087,0.9386025998142989
32-003-0540,O3,36.141876220703125,-115.07874298095703,26280,25500,0.9703196347031964,8616,8157,0.9467270194986073
32-003-0540,CO,36.141876220703125,-115.07874298095703,26280,23733,0.9030821917808219,8616,6931,0.8044336118848654
32-003-0540,SO2,36.141876220703125,-115.07874298095703,26280,25262,0.9612633181126332,8616,8361,0.9704038997214485
32-003-2003,PM2.5,36.2144660949707,-115.09143829345703,26280,22597,0.859855403348554,8616,8555,0.9929201485608171
32-003-2003,NO2,36.2144660949707,-115.09143829345703,26280,22108,0.841248097412481,8616,8084,0.9382544103992572
32-003-2003,O3,36.2144660949707,-115.09143829345703,26280,22027,0.838165905631659,8616,8243,0.9567084493964717
32-003-2003,CO,36.2144660949707,-115.09143829345703,26280,21141,0.8044520547945205,8616,8297,0.9629758588672238
32-003-2003,SO2,36.2144660949707,-115.09143829345703,26280,0,0.0,8616,0,0.0
32-003-0075,PM2.5,36.270591735839844,-115.23828125,26280,26119,0.9938736681887367,8616,8595,0.9975626740947076
32-003-0075,NO2,36.270591735839844,-115.23828125,26280,25682,0.9772450532724505,8616,8083,0.9381383472609099
32-003-0075,O3,36.270591735839844,-115.23828125,26280,25895,0.9853500761035008,8616,8495,0.9859563602599815
32-003-0075,CO,36.270591735839844,-115.23828125,26280,11780,0.4482496194824962,8616,0,0.0
32-003-0075,SO2,36.270591735839844,-115.23828125,26280,0,0.0,8616,0,0.0
32-003-1501,PM2.5,36.139705657958984,-115.17565155029297,26280,26040,0.9908675799086758,8616,8572,0.9948932219127206
32-003-1501,NO2,36.139705657958984,-115.17565155029297,26280,25710,0.978310502283105,8616,8133,0.9439415041782729
32-003-1501,O3,36.139705657958984,-115.17565155029297,26280,0,0.0,8616,0,0.0
32-003-1501,CO,36.139705657958984,-115.17565155029297,26280,25052,0.9532724505327245,8616,8454,0.9811977715877437
32-003-1501,SO2,36.139705657958984,-115.17565155029297,26280,0,0.0,8616,0,0.0
32-003-0561,PM2.5,36.163963317871094,-115.11392974853516,26280,26107,0.9934170471841705,8616,8585,0.9964020427112349
32-003-0561,NO2,36.163963317871094,-115.11392974853516,26280,25579,0.9733257229832573,8616,7842,0.9101671309192201
32-003-0561,O3,36.163963317871094,-115.11392974853516,26280,0,0.0,8616,0,0.0
32-003-0561,CO,36.163963317871094,-115.11392974853516,26280,25578,0.9732876712328767,8616,8289,0.9620473537604457
32-003-0561,SO2,36.163963317871094,-115.11392974853516,26280,0,0.0,8616,0,0.0
32-003-0071,PM2.5,36.169761657714844,-115.2630386352539,26280,26220,0.997716894977169,8616,8571,0.9947771587743732
32-003-0071,NO2,36.169761657714844,-115.2630386352539,26280,0,0.0,8616,0,0.0
32-003-0071,O3,36.169761657714844,-115.2630386352539,26280,25767,0.9804794520547945,8616,8522,0.9890900649953575
32-003-0071,CO,36.169761657714844,-115.2630386352539,26280,0,0.0,8616,0,0.0
32-003-0071,SO2,36.169761657714844,-115.2630386352539,26280,0,0.0,8616,0,0.0
32-003-0043,PM2.5,36.106388092041016,-115.25333404541016,26280,26133,0.994406392694064,8616,8593,0.997330547818013
32-003-0043,NO2,36.106388092041016,-115.25333404541016,26280,0,0.0,8616,0,0.0
32-003-0043,O3,36.106388092041016,-115.25333404541016,26280,25610,0.9745053272450532,8616,8296,0.9628597957288765
32-003-0043,CO,36.106388092041016,-115.25333404541016,26280,7400,0.2815829528158295,8616,0,0.0
32-003-0043,SO2,36.106388092041016,-115.25333404541016,26280,0,0.0,8616,0,0.0
